,pl,be,uk,ru,bg,sl,cs,en
3305,Ernest Żelazny,Эрнст,Ернст Залізний,Эрнст ,Ернст Железни,Ernest Železni,Arnošt Habsburský ,Ernest
3306,Björn Borg,Б’ёрн Борг,Б'єрн Борг,Бьорн Борг,Бьорн Борг,Björn Borg,Björn Borg,Björn Borg
3307,Adolphe Sax,Адольф Сакс,Адольф Сакс,Адольф Сакс,Адолф Сакс,Adolphe Sax,Adolphe Sax,Adolphe Sax
3308,Gieorgij Danelija,Георгій Мікалаевіч Данелія,Георгій Данелія,Георгий Данелия,Георгий Данелия,Georgij Nikolajevič Danelija,Georgij Danělija,Georgiy Daneliya
3309,Walther von der Vogelweide,Вальтэр фон дэр Фогельвайдэ,Вальтер фон дер Фоґельвайде,Вальтер фон дер Фогельвейде,Валтер фон дер Фогелвайде,Walther von der Vogelweide,Walther von der Vogelweide,Walther von der Vogelweide
3310,Joanis Metaksas,Іааніс Метаксас,Іоанніс Метаксас,Иоаннис Метаксас,Йоанис Метаксас,Joanis Metaksas,Ioannis Metaxas,Ioannis Metaxas
3311,François Darlan,Франсуа Дарлан,Франсуа Дарлан,Франсуа Дарлан,Франсоа Дарлан,François-Jean Darlan,François Darlan,François Darlan
3312,Ludwik IV Bawarski,Людовік IV ,Людовик IV ,Людовик IV ,Лудвиг IV ,Ludvik IV. Wittelsbaški,Ludvík IV. Bavor,Louis IV
3313,Ludwik II Niemiecki,Людовік Нямецкі,Людовик II Німецький,Людовик II Немецкий,Лудвиг Немски,Ludvik Nemški,Ludvík II. Němec,Louis the German
3314,Josef Suk ,Ёсеф Сук,Йозеф Сук,Йозеф Сук,Йозеф Сук,Josef Suk ,Josef Suk starší,Josef Suk
3315,Richard Dedekind,Юліус Вільгельм Рыхард Дэдэкінд,Ріхард Дедекінд,Рихард Дедекинд,Рихард Дедекинд,Julius Wilhelm Richard Dedekind,Richard Dedekind,Richard Dedekind
3316,Filip I Piękny,Філіп I Прыгожы,Філіп I Вродливий,Филипп I Красивый,Филип I ,Filip I. Kastiljski,Filip I. Kastilský,Philip I
3317,János Hunyady,Ян Хуньядзі,Янош Гуньяді,Янош Хуньяди,Янош Хуняди,János Hunyadi,János Hunyadi,John Hunyadi
3318,Władysław Pogrobowiec,Ладзіслаў Постум,Владислав Посмертний,Ладислав Постум,Владислав Посмъртни,Ladislav Posmrtni,Ladislav Pohrobek,Ladislaus the Posthumous
3319,Sylwester II,Сільвестр II,Сильвестр II,Сильвестр II,Силвестър II,Papež Silvester II,Silvestr II,Pope Sylvester II
3320,Grzegorz V ,Грыгорый V ,Григорій V,Григорий V ,Григорий V ,Papež Gregor V,Řehoř V,Gregory V of Constantinople
3321,Philippe Marie Leclerc,Філіп Леклерк,Філіпп Леклерк,Филипп Леклерк,Филип Льоклер дьо Отклок,Philippe Leclerc de Hauteclocque,Philippe Leclerc de Hauteclocque,Philippe Leclerc de Hauteclocque
3322,Demetriusz I Soter,Дэметрый I Сатэр,Деметрій I Сотер,Деметрий I Сотер,Деметрий I Сотер,Demetrij I. Soter,Démétrios I. Sótér,Demetrius I Soter
3323,Peter Apianus,Пётр Апіян,Петер Апіан,Петер Апиан,Петер Апиан,Peter Apian,Petr Apian,Petrus Apianus
