,pl,be,uk,ru,bg,sl,cs,en
2370,Ludwik Sforza,Ладавіка Сфорца,Людовіко Сфорца,Лодовико Сфорца,Лудовико Мария Сфорца,Ludovico Sforza,Lodovico Sforza,Ludovico Sforza
2371,Bono,Bono,Боно,Боно,Боно,Bono,Bono,Bono
2372,John Archibald Wheeler,Джон Арчыбальд Уілер,Арчибальд Джон,Джон Уилер,Джон Уилър,John Archibald Wheeler,John Archibald Wheeler,John Archibald Wheeler
2373,Haakon VII,Хокан VII,Гокон VII,Хокон VII,Хокон VII,Haakon VII. Norveški,Haakon VII,Haakon VII of Norway
2374,Stephen Hawking,Стывен Хокінг,Стівен Гокінг,Стивен Хокинг,Стивън Хокинг,Stephen Hawking,Stephen Hawking,Stephen Hawking
2375,G. Stanley Hall,Грэнвіл Стэнлі Хол,Стенлі Гренвілл,Грэнвилл Холл,Грандвил Стенли Хол,G. Stanley Hall,Granville Stanley Hall,G. Stanley Hall
2376,Árpád Göncz,Арпад Гёнц,Арпад Генц,Арпад Гёнц,Арпад Гьонц,Árpád Göncz,Árpád Göncz,Árpád Göncz
2377,Novak Đoković,Новак Джокавіч,Новак Джокович,Новак Джокович,Новак Джокович,Novak Đoković,Novak Djoković,Novak Djokovic
2378,Vidkun Quisling,В. Квіслінг,Відкун Квіслінг,Видкун Квислинг,Видкун Квислинг,Vidkun Quisling,Vidkun Quisling,Vidkun Quisling
2379,Hayao Miyazaki,Хаяо Міядзакі,Хаяо Міядзакі,Хаяо Миядзаки,Хаяо Миядзаки,Hajao Mijazaki,Hajao Mijazaki,Hayao Miyazaki
2380,James Clark Ross,Джэймс Кларк Рос,Джеймс Росс,Джеймс Росс,Джеймс Кларк Рос,James Clark Ross,James Clark Ross,James Clark Ross
2381,Kathy Bates,Кэці Бэйтс,Кеті Бейтс,Кэти Бэйтс,Кати Бейтс,Kathy Bates,Kathy Batesová,Kathy Bates
2382,Wat Tyler,Уот Тайлер,Вот Тайлер,Уот Тайлер,Уот Тайлър,Tyler Wat,Wat Tyler,Wat Tyler
2383,Joe Louis,Джо Луіс,Джо Луїс,Джо Луис,Джо Луис,Joe Louis,Joe Louis,Joe Louis
2384,Sławomir Mrożek,Славамір Мрожак,Славомир Мрожек,Славомир Мрожек,Славомир Мрожек,Sławomir Mrożek,Sławomir Mrożek,Sławomir Mrożek
2385,Karol IV Luksemburski,Карл IV Люксембургскі,Карл IV ,Карл IV ,Карл IV ,Karel IV. Luksemburški,Karel IV,Charles IV
2386,Donald Knuth,Дональд Эрвін Кнут,Дональд Кнут,Дональд Кнут,Доналд Кнут,Donald Knuth,Donald Ervin Knuth,Donald Knuth
2387,Jean-Baptiste Colbert,Жан-Батыст Кальбер,Жан-Батист Кольбер,Жан-Батист Кольбер,Жан-Батист Колбер,Jean-Baptiste Colbert,Jean-Baptiste Colbert,Jean-Baptiste Colbert
2388,Guy Fawkes,Гай Фокс,Ґай Фокс,Гай Фокс,Гай Фокс,Guy Fawkes,Guy Fawkes,Guy Fawkes
2389,Fabian ,Фабіян ,Фабіан,Фабиан ,Фабиан,Papež Fabijan,Svatý Fabián,Pope Fabian
2390,Anteros ,Антэр ,Антер,Антер ,Антер,Papež Anter,Anterus,Pope Anterus
2391,John Harrison,Джон Гарысан,Джон Гаррісон,Джон Гаррисон,Джон Харисън,John Harrison,John Harrison,John Harrison
2392,Henry Cavendish,Генры Кавендыш,Генрі Кавендіш,Генри Кавендиш,Хенри Кавендиш,Henry Cavendish,Henry Cavendish,Henry Cavendish
2393,Maria Callas,Марыя Калас,Марія Каллас,Мария Каллас,Мария Калас,Maria Callas,Maria Callasová,Maria Callas
2394,Ahmed Szah Abdali,Ахмад-шах Дурані,Ахмед-шах Абдалі,Ахмад-шах Дуррани,Ахмад Шах Дурани,Ahmed Durani,Ahmad Šáh Durrání,Ahmad Shah Durrani
2395,Mirzə Fətəli Axundov,Мірза Фаталі Ахундаў,Мірза Ахундов,Мирза Ахундов,Мирза Ахундов,Mirza Fatali Ahundov,Mirzə Fətəli Axundov,Mirza Fatali Akhundov
2396,Publiusz Korneliusz Tacyt,Публій Карнелій Тацыт,Тацит,Публий Корнелий Тацит,Публий Корнелий Тацит,Publij Kornelij Tacit,Tacitus,Tacitus
2397,Kasjusz Dion,Дыян Касій,Діон Кассій,Дион Кассий,Дион Касий,Kasij Dion,Cassius Dio,Cassius Dio
2398,Kiro Gligorow,Кіра Глігараў,Киро Глигоров,Киро Глигоров,Киро Глигоров,Kiro Gligorov,Kiro Gligorov,Kiro Gligorov
2399,David Beckham,Дэвід Бекхэм,Девід Бекхем,Дэвид Бекхэм,Дейвид Бекъм,David Beckham,David Beckham,David Beckham
2400,Nikołaj Żukowski,Мікалай Ягоравіч Жукоўскі,Микола Жуковський,Николай Жуковский,Николай Жуковски,Nikolaj Jegorovič Žukovski,Nikolaj Jegorovič Žukovskij,Nikolay Zhukovsky
2401,Serj Tankian,Серж Танкян,Серж Танкян,Серж Танкян,Серж Танкян,Serj Tankian,Serj Tankian,Serj Tankian
2402,Aleksandr Borodin,Аляксандр Парфіравіч Барадзін,Олександр Бородін,Александр Бородин,Александър Бородин,Aleksander Borodin,Alexandr Porfirjevič Borodin,Alexander Borodin
2403,Milij Bałakiriew,Мілій Аляксеевіч Балакіраў,Милій Балакірєв,Милий Балакирев,Милий Балакирев,Milij Balakirjev,Milij Alexejevič Balakirev,Mily Balakirev
2404,Jerzy Czarny,Карагеоргій,Карагеоргій,Карагеоргий,Карагеорги Петрович,Đorđe Petrović,Karađorđe Petrović,Karađorđe
2405,Laura Pausini,Лаура Паўзіні,Лаура Паузіні,Лаура Паузини,Лаура Паузини,Laura Pausini,Laura Pausini,Laura Pausini
2406,Benny Hill,Бэні Хіл,Бенні Гілл,Бенни Хилл,Бени Хил,Benny Hill,Benny Hill,Benny Hill
2407,Siemion Dieżniow,Сямён Іванавіч Дзяжнёў,Семен Дежньов,Семён Дежнёв,Семьон Дежньов,Semjon Ivanovič Dežnjov,Semjon Ivanovič Děžňov,Semyon Dezhnev
2408,Robert Bunsen,Роберт Вільгельм Бунзен,Вільгельм Роберт,Роберт Бунзен,Роберт Бунзен,Robert Wilhelm Bunsen,Robert Wilhelm Bunsen,Robert Bunsen
2409,Bartłomiej Apostoł,Апостал Варфаламей,Варфоломій ,Апостол Варфоломей,Вартоломей ,Sveti Jernej,Bartoloměj ,Bartholomew
2410,Siergiej Wawiłow,Сяргей Іванавіч Вавілаў,Сергій Вавилов,Сергей Вавилов,Сергей Вавилов,Sergej Ivanovič Vavilov,Sergej Vavilov,Sergey Ivanovich Vavilov
2411,Nikołaj Wawiłow,Мікалай Іванавіч Вавілаў,Микола Вавилов,Николай Вавилов,Николай Вавилов,Nikolaj Ivanovič Vavilov,Nikolaj Vavilov,Nikolai Vavilov
2412,Jean-Baptiste Lully,Жан-Батыст Люлі,Батіст Жан,Жан-Батист Люлли,Жан-Батист Люли,Jean-Baptiste Lully,Jean-Baptiste Lully,Jean-Baptiste Lully
2413,Fabian Bellingshausen,Фадзей Фадзеевіч Белінсгаўзен,Фадей Беллінсгаузен,Фаддей Беллинсгаузен,Фадей Белингсхаузен,Fabian Gottlieb von Bellingshausen,Fadděj Faddějevič Bellingshausen,Fabian Gottlieb von Bellingshausen
2414,Thomas Paine,Томас Пейн,Томас Пейн,Томас Пейн,Томас Пейн,Thomas Paine,Thomas Paine,Thomas Paine
2415,Ferdinand Porsche,Фердынанд Поршэ,Фердинанд Порше,Фердинанд Порше,Фердинанд Порше,Ferdinand Porsche,Ferdinand Porsche,Ferdinand Porsche
2416,Leon IV Chazar,Леў IV Хазар,Лев IV Хозар,Лев IV Хазар,Лъв IV ,Leon IV. Hazar,Leon IV. Chazar,Leo IV
2417,Lise Meitner,Лізэ Майтнер,Ліза Майтнер,Лиза Мейтнер,Лиза Майтнер,Lise Meitner,Lise Meitnerová,Lise Meitner
2418,Andre Agassi,Андрэ Агасі,Андре Агассі,Андре Агасси,Андре Агаси,Andre Agassi,Andre Agassi,Andre Agassi
2419,José Mourinho,Жазэ Маўрынью,Жозе Моурінью,Жозе Моуринью,Жозе Моуриньо,José Mourinho,José Mourinho,José Mourinho
2420,Boris Spasski,Барыс Васільевіч Спаскі,Борис Спаський,Борис Спасский,Борис Спаски,Boris Spaski,Boris Spasskij,Boris Spassky
2421,Theodore William Richards,Тэадор Уільям Рычардс,Вільям Теодор,Теодор Ричардс,Теодор Ричардс,Theodore William Richards,Theodore William Richards,Theodore William Richards
2422,Nina Simone,Ніна Сімон,Ніна Сімон,Нина Симон,Нина Симон,Nina Simone,Nina Simone,Nina Simone
2423,Duke Ellington,Дзюк Элінгтан,Дюк Еллінгтон,Дюк Эллингтон,Дюк Елингтън,Duke Ellington,Duke Ellington,Duke Ellington
2424,Tina Turner,Ціна Цёрнер,Тіна Тернер,Тина Тёрнер,Тина Търнър,Tina Turner,Tina Turner,Tina Turner
2425,David Bowie,Дэвід Боўі,Девід Бові,Дэвид Боуи,Дейвид Боуи,David Bowie,David Bowie,David Bowie
2426,Girolamo Cardano,Джыролама Кардана,Джироламо Кардано,Джероламо Кардано,Джироламо Кардано,Gerolamo Cardano,Gerolamo Cardano,Gerolamo Cardano
2427,Katharine Hepburn,Кэтрын Хепбёрн,Кетрін Гепберн,Кэтрин Хепбёрн,Катрин Хепбърн,Katharine Hepburn,Katharine Hepburnová,Katharine Hepburn
2428,Julie Andrews,Джулі Эндрус,Джулія Ендрюс,Джули Эндрюс,Джули Андрюс,Julie Andrews,Julie Andrewsová,Julie Andrews
2429,Georg Trakl,Георг Тракль,Георг Тракль,Георг Тракль,Георг Тракъл,Georg Trakl,Georg Trakl,Georg Trakl
2430,Giovanni Lorenzo Bernini,Берніні,Лоренцо Берніні,Джованни Бернини,Джовани Лоренцо Бернини,Gian Lorenzo Bernini,Gian Lorenzo Bernini,Gian Lorenzo Bernini
2431,Dieter Bohlen,Дзітэр Болен,Дітер Болен,Дитер Болен,Дитер Болен,Dieter Bohlen,Dieter Bohlen,Dieter Bohlen
2432,Vuk Karadžić,Вук Стэфанавіч Караджыч,Вук Караджич,Вук Караджич,Вук Караджич,Vuk Stefanović Karadžić,Vuk Stefanović Karadžić,Vuk Karadžić
2433,Emma Thompson,Эма Томпсан,Емма Томпсон,Эмма Томпсон,Ема Томпсън,Emma Thompson,Emma Thompsonová,Emma Thompson
2434,Holly Hunter,Холі Хантэр,Голлі Гантер,Холли Хантер,Холи Хънтър,Holly Hunter,Holly Hunter,Holly Hunter
2435,Olivia de Havilland,Алівія дэ Хэвіленд,Олівія де Гевіленд,Оливия Де Хэвилленд,Оливия де Хавиланд,Olivia de Havilland,Olivia de Havilland,Olivia de Havilland
2436,Joanne Woodward,Джаан Вудвард,Джоан Вудворд,Джоан Вудворд,Джоан Удуърд,Joanne Woodward,Joanne Woodwardová,Joanne Woodward
2437,Judi Dench,Джудзі Дэнч,Джуді Денч,Джуди Денч,Джуди Денч,Judi Dench,Judi Denchová,Judi Dench
2438,Ulf von Euler,Ульф фон Эйлер,Ульф фон Ейлер,Ульф Эйлер,Улф фон Ойлер,Ulf von Euler,Ulf von Euler,Ulf von Euler
2439,Jeremy Irons,Джэрэмі Айранс,Джеремі Айронс,Джереми Айронс,Джеръми Айрънс,Jeremy Irons,Jeremy Irons,Jeremy Irons
2440,Robert Duvall,Роберт Дзюваль,Роберт Дюваль,Роберт Дюваль,Робърт Дювал,Robert Duvall,Robert Duvall,Robert Duvall
2441,F. Murray Abraham,Фарыд Мюрэй Абрахам,Фарід Мюррей Абрагам,Ф. Абрахам,Ф. Мъри Ейбрахам,Fahrid Murray Abraham,F. Murray Abraham,F. Murray Abraham
2442,Martin Buber,Марцін Бубер,Мартин Бубер,Мартин Бубер,Мартин Бубер,Martin Buber,Martin Buber,Martin Buber
2443,Franz Marc,Франц Марк,Франц Марк,Франц Марк,Франц Марк,Franz Marc,Franz Marc,Franz Marc
2444,Ben Kingsley,Бен Кінгслі,Бен Кінгслі,Бен Кингсли,Бен Кингсли,Ben Kingsley,Ben Kingsley,Ben Kingsley
2445,Konrad Salicki,Конрад II ,Конрад ,Конрад ,Конрад II ,Konrad  Nemški,Konrád Francký,Conrad II
2446,Omar Bradley,Амар Брэдлі,Омар Бредлі,Омар Брэдли,Омар Брадли,Omar Nelson Bradley,Omar Bradley,Omar Bradley
2447,Pliniusz Młodszy,Пліній Малодшы,Пліній Молодший,Плиний Младший,Плиний Млади,Plinij mlajši,Plinius mladší,Pliny the Younger
2448,Dagobert III,Дагаберт III,Дагоберт III,Дагоберт III,Дагоберт III,Dagobert III,Dagobert III,Dagobert III
2449,William Tecumseh Sherman,Уільям Тэкумсэ Шэрман,Вільям Шерман,Уильям Шерман,Уилям Шърман,William Tecumseh Sherman,William Tecumseh Sherman,William Tecumseh Sherman
2450,John Pershing,Джон Першынг,Джон Першинг,Джон Першинг,Джон Пършинг,John J. Pershing,John J. Pershing,John J. Pershing
2451,Mark Spitz,Марк Спіц,Марк Шпіц,Марк Спитц,Марк Шпиц,Mark Spitz,Mark Spitz,Mark Spitz
2452,Paavo Nurmi,Паава Нурмі,Пааво Нурмі,Пааво Нурми,Пааво Нурми,Paavo Nurmi,Paavo Nurmi,Paavo Nurmi
2453,Hulagu-chan,Хулагу,Хулагу,Хулагу,Хулагу хан,Hulegu,Hülegü,Hulagu Khan
2454,Carl Lewis,Карл Льюіс,Карл Льюїс,Карл Льюис,Карл Люис,Carl Lewis,Carl Lewis,Carl Lewis
2455,Michael Phelps,Майкл Фелпс,Майкл Фелпс,Майкл Фелпс,Майкъл Фелпс,Michael Phelps,Michael Phelps,Michael Phelps
2456,Whitney Houston,Уітні Х’юстан,Вітні Г'юстон,Уитни Хьюстон,Уитни Хюстън,Whitney Houston,Whitney Houston,Whitney Houston
2457,Adele,Адэль ,Адель ,Адель ,Адел,Adele,Adele,Adele
2458,Annie Lennox,Эні Ленакс,Енні Леннокс,Энни Леннокс,Ани Ленъкс,Annie Lennox,Annie Lennox,Annie Lennox
2459,Hans Memling,Ганс Мемлінг,Ганс Мемлінг,Ганс Мемлинг,Ханс Мемлинг,Hans Memling,Hans Memling,Hans Memling
2460,Dolores O’Riordan,Далорэс О’Рыардан,Долорес О'Ріордан,Долорес О’Риордан,Долорес О’Риърдън,Dolores O'Riordan,Dolores O'Riordanová,Dolores O'Riordan
