,entity,gender
874,Žofie Šarlota Hesensko-Kasselská,f
875,Suger,m
876,Matylda Savojská,f
877,Andrés de Urdaneta,m
878,Domenico Passignano,m
879,Tigranés Veliký,m
880,Svatý Haštal,m
881,Alexandr V.,m
882,Mickey Petralia,m
883,Helena Švédská,f
884,Salvator Rosa,m
885,Diofantos,m
886,Hynek Krušina IV. z Lichtenburka,m
887,Dorotea Dánská,f
888,Evžen Jan František Savojský ze Soissons,m
889,Claffo,m
890,Friedrich von Raumer,m
891,Franz Desfours-Walderode,m
892,William Gilbert,m
893,Anne Hathaway,f
894,Augustin Zippe,m
895,Eugène Bourdon,m
896,Alexandru I.,m
897,William Playfair,m
898,Mary Wardová,f
899,Jan Petr Molitor,m
900,Giovanni Maffei,m
901,Josef Komárek,m
902,Cornelis Engebrechtsz.,m
903,Bahrám II.,m
904,Wulfila,m
905,Naomasa Ii,m
906,Hui Te-Rangiora,m
907,Josef von Smola,m
908,Roni Zuckermanová,f
909,František I. Rakouský,m
