,entity,gender
881,Martin Ivanetič,m
882,Ivan Mazepa,m
883,Balfour Stewart,m
884,Charles Francis Richter,m
885,Pierre-Jules-André Basse,m
886,Richard McCreery,m
887,Enea Sbarretti,m
888,Jacques Cartier,m
889,Harry Ricardo,m
890,Ratimir,m
891,Lewis Boss,m
892,Djuna Barnes,m
893,Georg Böhm,m
894,Maks Rupar,m
895,Martin Kojc,m
896,Michel-Eugène Chevreul,m
897,Fran Lipah,m
898,Martin Ehrlich,m
899,Gordon Joseph Eaton-Matthews,m
900,Ledeni,m
901,Li Je,m
902,Aleksander Vladimirovič Agejev,m
903,Lotar Supplinburški,m
904,Pavel Klodič,m
905,Marija Žagar,m
906,Georges Lecointe,m
907,Sveta Petka Balkanska,f
908,Franc Goričan,m
909,Franjo Iveković,m
910,Avshalom Feinberg,m
911,Josip Dostal,m
912,Valeriano Weyler,m
913,Hamit Tarhan Abdülhak,m
914,Pérotin,m
915,Aleksander Andrejevič Ivanov,m
916,Martin Formanack,m
917,Albin Poznik,m
918,Janez Gosar,m
919,Correggio,m
920,Honoré-Charles Reille,m
921,Cesar Sejmu,m
922,Ivan Osipovič Vitt,m
923,Ludvik Čepon,m
